"variable","form_name","label","type","choices"
"patient_id","demographics","Patient ID","text",""
"sex","demographics","Sex","radio","0, Unknown | 1, Male | 2, Female"
"dob","demographics","Date of birth","text",""
"race","demographics","Race","radio","0, Unknown | 1, Asian | 2, Black | 3, Hispanic | 4, White"
"admit_dt","demographics","Admission date/time","datetime_seconds_dmy",""
"discharge_dt","demographics","Discharge date/time","datetime_seconds_dmy",""
"discharged_alive","demographics","Discharged alive","radio","0, No | 1, Yes | 2, On ECMO"
"run_no","run","Run number","text",""
"support_type","run","Support type","text",""
"ph_pre","run","Pre-ECLS pH","text",""
"completed_by","run","Completed by","text",""
"comp_run","complication","Complication run","text",""
"comp_code","complication","Complication code","text",""
"comp_dt","complication","Complication date/time","datetime_seconds_dmy",""
"dx_run","diagnosis","Diagnosis run","text",""
"dx_code","diagnosis","Diagnosis code","text",""
"dx_primary","diagnosis","Primary diagnosis","radio","0, No | 1, Yes"
"cc_run","cath","Cath run","text",""
"cath_id","cath","Cath ID","text",""
"cath_option","cath","Cath option","text",""
"cath_dt","cath","Cath date/time","datetime_seconds_dmy",""
"dx_cath","cath_dx","Cath (for diagnostic)","text",""
"cath_dx_code","cath_dx","Cath diagnostic code","text",""
"mode_run","mode","Mode run","text",""
"mode_start","mode","Mode start","datetime_seconds_dmy",""
"mode_end","mode","Mode end","datetime_seconds_dmy",""
"mode_ecls","mode","ECLS mode","text",""
"pump_run","pumps","Pump run","text",""
"pump_devid","pumps","Pump device id","text",""
"pump_start","pumps","Pump start","datetime_seconds_dmy",""
"pump_end","pumps","Pump end","datetime_seconds_dmy",""
"lung_run","lungs","Lung run","text",""
"lung_devid","lungs","Lung device id","text",""
"lung_start","lungs","Lung start","datetime_seconds_dmy",""
"lung_end","lungs","Lung end","datetime_seconds_dmy",""
"console_run","consoles","Console run","text",""
"console_devid","consoles","Console device id","text",""
"console_start","consoles","Console start","datetime_seconds_dmy",""
"console_end","consoles","Console end","datetime_seconds_dmy",""
"comp_enabled","run","Complications enabled","text",""
"inf_enabled","run","Infections enabled","text",""
"pump_added","pumps","Pump added/replaced","text",""
"lung_added","lungs","Lung added/replaced","text",""
"console_added","consoles","Console added/replaced","text",""
"nyha","run","NYHA category","text",""
"scai_adm","run","SCAI at admission","text",""
"scai_pre","run","SCAI pre-ECMO","text",""
"ecls_cann","run","ECLS cannulation","text",""
"vaso_score","run","Vasoactive inotrope score","text",""
"cann_loc","run","Cannulation location","text",""
"precip_event","run","Precipitating event","text",""
"precath","run","Pre-cath yes/no","text",""
"duringcath","run","During-cath yes/no","text",""
"aftercath","run","After-cath yes/no","text",""
"cdx_run","cardiac_dx","Cardiac dx run","text",""
"cdx_code","cardiac_dx","Cardiac contributing diagnosis code","text",""
"discharge_loc","demographics","Discharge location","text",""
"adm_wt","run","Admission weight","text",""
"adm_ht","run","Admission height","text",""
"pre_ph","run","Pre pH","text",""
"pre_hco3","run","Pre HCO3","text",""
"pre_vent","run","Pre vent type","text",""
"pre_sbp","run","Pre SBP","text",""
"pre_dbp","run","Pre DBP","text",""
"ecls_ph","run","ECLS pH","text",""
"ecls_hco3","run","ECLS HCO3","text",""
"ecls_vent","run","ECLS vent type","text",""
"ecls_sbp","run","ECLS SBP","text",""
"ecls_dbp","run","ECLS DBP","text",""
"mech_sc","run","Mechanical support used","text",""
"renpul_sc","run","Renal/pulm/other support used","text",""
"meds_sc","run","Medications support used","text",""
"vaso_sc","run","Vasoactive support used","text",""
"icu_set","run","Intensive care setting","text",""
"vad_est","run","VAD estimated unknown","text",""
"vad_date","run","VAD date of implantation","datetime_seconds_dmy",""
"vad_temp","run","VAD temporary support","text",""
"ecpr_precip","run","ECPR precipitating event","text",""
"ecpr_witnessed","run","ECPR witnessed arrest","text",""
"ecpr_arrest_dt","run","ECPR arrest date/time","datetime_seconds_dmy",""
"ecpr_cpr","run","ECPR CPR performed","text",""
"ecpr_rhythm","run","ECPR initial pulseless rhythm","text",""
"trauma_dt","run","Date of trauma","datetime_seconds_dmy",""
"trauma_blunt","run","Mechanism blunt","text",""
"trauma_pen","run","Mechanism penetrating","text",""
"trauma_burns","run","Mechanism burns","text",""
"tind_run","trauma_ind","Trauma indication run","text",""
"tind_code","trauma_ind","ECLS indication (trauma) code","text",""
"tinj_run","trauma_inj","Trauma injury run","text",""
"tinj_code","trauma_inj","Trauma related injury code","text",""
"ecpr_la_inhosp","run","ECPR location of arrest in-hospital","text",""
"ecpr_la_icu","run","ECPR location ICU description","text",""
"ecpr_cd_inhosp","run","ECPR second location in-hospital","text",""
"ecpr_cd_icu","run","ECPR second location ICU description","text",""
